ID,texto_original,label,origen,plantilla_id,subclase,texto_modelo
V3-00820,"Qué pereza leerte, chambros",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Eso es lo que sos, un {t}",Insulto,"Qué pereza leerte, chambros"
V3-00821,Me dan ganas de p a r t i rlo acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Me dan ganas de {v}lo,Amenaza Directa,Me dan ganas de p a r t i rlo acordate de esto
V3-00822,"Qué onda pajero, todo bien por allá",0,v3_jerga_notoxico,"jerga_notoxico|Qué onda {t}, todo bien por allá",,"Qué onda pajero, todo bien por allá"
V3-00823,"Otra vez vos, m4nt3n1d4",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Dejá de escribir, {t}",Insulto,"Otra vez vos, m4nt3n1d4"
V3-00824,Saludos al bicho de mi parte,0,v3_jerga_notoxico,jerga_notoxico|Saludos al {t} de mi parte,,Saludos al bicho de mi parte
V3-00825,Uno de estos días lo van a r e v e n t a r ya vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Uno de estos días lo van a {v},Amenaza Directa,Uno de estos días lo van a r e v e n t a r ya vas a ver
V3-00826,Los mexicanos traen unas recetas buenísimas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} traen unas recetas buenísimas,,Los mexicanos traen unas recetas buenísimas
V3-00827,"No sabés nada, med1okre",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"No sabés nada, med1okre"
V3-00828,Lo van a r.e.v.e.n.t.a.r a ese acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Lo van a {v} a ese,Amenaza Directa,Lo van a r.e.v.e.n.t.a.r a ese acordate de esto
V3-00829,"Odio a los migrantes, sobran en este país 🚽",2,v3_emoji_clase2,emoji_clase2|emoji_🚽,Migrantes y personas empobrecidas,"Odio a los migrantes, sobran en este país :inodoro:"
V3-00830,"Otra vez vos, fa*cista",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya cállese, {t}",Insulto,"Otra vez vos, fa*cista"
V3-00831,"Todo bien con el chota, no hay pleito",0,v3_jerga_notoxico,"jerga_notoxico|Todo bien con el {t}, no hay pleito",,"Todo bien con el chota, no hay pleito"
V3-00832,Que lo vayan a b a l e a r de una vez anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Que lo vayan a {v} de una vez,Amenaza Directa,Que lo vayan a b a l e a r de una vez anotalo
V3-00833,"Qué pereza leerte, p4ja",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Otra vez vos, {t}",Insulto,"Qué pereza leerte, p4ja"
V3-00834,Ese chota nunca falla cuando se le necesita,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} nunca falla cuando se le necesita,,Ese chota nunca falla cuando se le necesita
V3-00835,"Dejá de escribir, p-i-p-i-a-n",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Insulto,"Dejá de escribir, p-i-p-i-a-n"
V3-00836,Deberían m.a.t.a.r a todos esos,3,v3_amenaza_ofuscada,amenaza_ofuscada|Deberían {v} a todos esos,Amenaza Directa,Deberían m.a.t.a.r a todos esos
V3-00837,"No jodás más, putaa",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Palabras obscenas,"No jodás más, putaa"
V3-00838,"Hablando pura paja, suvnormal",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"Hablando pura paja, suvnormal"
V3-00839,Ya quisiera g0lpear a ese maje anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ya quisiera {v} a ese maje,Amenaza Directa,Ya quisiera g0lpear a ese maje anotalo
V3-00840,Los cubanos juegan muy bien al fútbol,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} juegan muy bien al fútbol,,Los cubanos juegan muy bien al fútbol
V3-00841,Le van a 🔪 hacer la visita,3,v3_emoji_clase3,emoji_clase3|emoji_🔪,Individuo,Le van a :cuchillo_de_cocina: hacer la visita
V3-00842,"Odio a los migrantes, dan asco 🚽",2,v3_emoji_clase2,emoji_clase2|emoji_🚽,Migrantes y personas empobrecidas,"Odio a los migrantes, dan asco :inodoro:"
V3-00843,Ya sabe que va a amanecer tieso ese,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Ya sabe que va a amanecer tieso ese
V3-00844,Los obesos son puro estorbo y nadie lo dice 🐋🚫,2,v3_emoji_clase2,emoji_clase2|emoji_🐋🚫,Personas con sobrepeso,Los obesos son puro estorbo y nadie lo dice :ballena: :prohibido:
V3-00845,"Callate ya, fasista",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Mejor callate, {t}",Insulto,"Callate ya, fasista"
V3-00846,"Todos los peruanos son mierda, sin excepción",2,v3_odio_grupo,"odio_grupo|Todos los {g} {p}, sin excepción",Xenofobia,"Todos los peruanos son mierda, sin excepción"
V3-00847,"Andate de aquí, cvl3ra",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Insulto,"Andate de aquí, cvl3ra"
V3-00848,Fuera los hondureños de nuestro país,2,v3_odio_grupo,odio_grupo|Fuera los {g} de nuestro país,Xenofobia,Fuera los hondureños de nuestro país
V3-00849,"Mientras más negros 🌑 llegan, peor está todo",2,v3_emoji_clase2,emoji_clase2|emoji_🌑,Personas racializadas,"Mientras más negros :luna_nueva: llegan, peor está todo"
V3-00850,El equipo de los hondureños jugó limpio,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|El equipo de los {g} jugó limpio,,El equipo de los hondureños jugó limpio
V3-00851,Los nicaragüenses son puro estorbo y nadie lo dice,2,v3_odio_grupo,odio_grupo|Los {g} {p} y nadie lo dice,Xenofobia,Los nicaragüenses son puro estorbo y nadie lo dice
V3-00852,Vamos a ma7ar a ese maje acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Vamos a {v} a ese maje,Amenaza Directa,Vamos a ma7ar a ese maje acordate de esto
V3-00853,"Todos los retrasados dan asco, sin excepción 🧠❓",2,v3_emoji_clase2,emoji_clase2|emoji_🧠❓,Personas con discapacidad intelectual,"Todos los retrasados dan asco, sin excepción :cerebro: :interrogación_roja:"
V3-00854,Sos un maje o*ico y punto,1,v3_jerga_ofensivo,jerga_ofensivo|Sos un {t} y punto,Insulto Directo,Sos un maje o*ico y punto
V3-00855,Decile que ya sabe lo que le espera,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Decile que ya sabe lo que le espera
V3-00856,"Volvé cuando aprendás, dezpreciable",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Insulto,"Volvé cuando aprendás, dezpreciable"
V3-00857,Voy a ir a f*****rte a tu casa vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Voy a ir a {v}te a tu casa,Amenaza Directa,Voy a ir a f*****rte a tu casa vas a ver
V3-00858,"Da asco verte, n4rqentina",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Xenofobia,"Da asco verte, n4rqentina"
V3-00859,"Mejor callate, verqazo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Sos lo peor que hay, {t}",Palabras obscenas,"Mejor callate, verqazo"
V3-00860,"No perteneces aquí, arra$trada",2,v3_odio_ofuscado,"odio_ofuscado|Da asco verte, {t}",Sexismo,"No perteneces aquí, arra$trada"
V3-00861,Fuera los retrasados de nuestro país 🧠❓,2,v3_emoji_clase2,emoji_clase2|emoji_🧠❓,Personas con discapacidad intelectual,Fuera los retrasados de nuestro país :cerebro: :interrogación_roja:
V3-00862,Le van 🔪 a pasar factura,3,v3_emoji_clase3,emoji_clase3|emoji_🔪,Individuo,Le van :cuchillo_de_cocina: a pasar factura
V3-00863,"Mejor callate, v3rgaz0",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Palabras obscenas,"Mejor callate, v3rgaz0"
V3-00864,"Me da igual lo que digas, maitr",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,"Me da igual lo que digas, maitr"
V3-00865,"Odio a los judíos, no son gente 🧼",2,v3_emoji_clase2,emoji_clase2|emoji_🧼,Judíos,"Odio a los judíos, no son gente :jabón:"
V3-00866,"Qué pereza leerte, pedo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué {t}, en serio",Palabras obscenas,"Qué pereza leerte, pedo"
V3-00867,Qué bueno que ya te sentís mejor 🎂,0,v3_emoji_benigno,emoji_benigno|benigno_🎂,,Qué bueno que ya te sentís mejor :tarta_de_cumpleaños:
V3-00868,"Qué pereza leerte, kulero",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Qué pereza leerte, kulero"
V3-00869,"Odio a los cubanos, sobran en este país",2,v3_odio_grupo,"odio_grupo|Odio a los {g}, {p}",Xenofobia,"Odio a los cubanos, sobran en este país"
V3-00870,"Mientras más colombianos llegan, peor está todo",2,v3_odio_grupo,"odio_grupo|Mientras más {g} llegan, peor está todo",Xenofobia,"Mientras más colombianos llegan, peor está todo"
V3-00871,Los haitianos ganaron el partido de ayer,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} ganaron el partido de ayer,,Los haitianos ganaron el partido de ayer
V3-00872,Se me olvidó el pelota en la casa,0,v3_jerga_control,jerga_control|Se me olvidó el {t} en la casa,,Se me olvidó el pelota en la casa
V3-00873,"Si lo vuelvo a ver lo voy a m***r y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Si lo vuelvo a ver lo voy a {v},Amenaza Directa,"Si lo vuelvo a ver lo voy a m***r y no es amenaza, es aviso"
V3-00874,"No sabés nada, pu*o",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya cállese, {t}",Palabras obscenas,"No sabés nada, pu*o"
V3-00875,Ojalá lo linch4ren pronto vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ojalá lo {v}en pronto,Amenaza Directa,Ojalá lo linch4ren pronto vas a ver
V3-00876,"puchica, qué alegre verte de nuevo",0,v3_jerga_notoxico,"jerga_notoxico|{t}, qué alegre verte de nuevo",,"puchica, qué alegre verte de nuevo"
V3-00877,Ya son demasiados indios en este país 👨‍🌾🐒,2,v3_emoji_clase2,emoji_clase2|emoji_👨‍🌾🐒,Pueblos indígenas,Ya son demasiados indios en este país :hombre: :espiga_de_arroz: :mono:
V3-00878,Ese jura siempre llega tarde pero llega,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} siempre llega tarde pero llega,,Ese jura siempre llega tarde pero llega
V3-00879,Ese chota es mi mejor amigo desde la escuela,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} es mi mejor amigo desde la escuela,,Ese chota es mi mejor amigo desde la escuela
V3-00880,"Todos los viejos son puro estorbo, sin excepción 👴💀",2,v3_emoji_clase2,emoji_clase2|emoji_👴💀,Adultos mayores,"Todos los viejos son puro estorbo, sin excepción :anciano: :calavera:"
V3-00881,"Eso es lo que sos, un hijv3puta",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,"Eso es lo que sos, un hijv3puta"
V3-00882,Los muertos de hambre no son gente 🐶,2,v3_emoji_clase2,emoji_clase2|emoji_🐶,Personas en situación de pobreza,Los muertos de hambre no son gente :cara_de_perro:
V3-00883,Ese pajero es mi mejor amigo desde la escuela,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} es mi mejor amigo desde la escuela,,Ese pajero es mi mejor amigo desde la escuela
V3-00884,Con gusto lo m***rría yo mismo te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Con gusto lo {v}ría yo mismo,Amenaza Directa,Con gusto lo m***rría yo mismo te lo juro
V3-00885,"Andate a tu país, parasitar",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Andate a tu país, parasitar"
V3-00886,Los retrasados son mierda y nadie lo dice 🗣️👊🤤,2,v3_emoji_clase2,emoji_clase2|emoji_🗣️👊🤤,Personas con discapacidad intelectual,Los retrasados son mierda y nadie lo dice :cabeza_parlante: :puño_cerrado: :cara_babeando:
V3-00887,"Ya me hartaste, id!ota",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Ese {t} otra vez,Insulto,"Ya me hartaste, id!ota"
V3-00888,"Mientras más brutos llegan, peor está todo 😈📕",2,v3_emoji_clase2,emoji_clase2|emoji_😈📕,Personas con baja educación,"Mientras más brutos llegan, peor está todo :cara_sonriendo_con_cuernos: :libro_cerrado:"
V3-00889,"Los nicaragüenses son puro estorbo, así de simple",2,v3_odio_grupo,"odio_grupo|Los {g} {p}, así de simple",Xenofobia,"Los nicaragüenses son puro estorbo, así de simple"
V3-00890,"Qué onda bicho, todo bien por allá",0,v3_jerga_notoxico,"jerga_notoxico|Qué onda {t}, todo bien por allá",,"Qué onda bicho, todo bien por allá"
V3-00891,"Eso es lo que sos, un verqa",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué pereza leerte, {t}",Palabras obscenas,"Eso es lo que sos, un verqa"
V3-00892,"Otra vez vos, p.a.t.a.d.a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya me hartaste, {t}",nan,"Otra vez vos, p.a.t.a.d.a"
V3-00893,El día amaneció bien tuanis hoy,0,v3_jerga_notoxico,jerga_notoxico|El día amaneció bien {t} hoy,,El día amaneció bien tuanis hoy
V3-00894,"Andate de aquí, cvl3s",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Palabras obscenas,"Andate de aquí, cvl3s"
V3-00895,"Ya cállese, p-i-j-a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Palabras obscenas,"Ya cállese, p-i-j-a"
V3-00896,Puro put@ el que escribió eso,1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Palabras obscenas,Puro put@ el que escribió eso
V3-00897,Ya salieron las notas y me fue bien 🥳,0,v3_emoji_benigno,emoji_benigno|benigno_🥳,,Ya salieron las notas y me fue bien :cara_de_fiesta:
V3-00898,Que lo vayan a qu3mar de una vez esperame afuera,3,v3_amenaza_ofuscada,amenaza_ofuscada|Que lo vayan a {v} de una vez,Amenaza Directa,Que lo vayan a qu3mar de una vez esperame afuera
V3-00899,"Hablando pura paja, pistooo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Insulto,"Hablando pura paja, pistooo"
V3-00900,"Volvé cuando aprendás, maricón",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andate de aquí, {t}",Insulto,"Volvé cuando aprendás, maricón"
V3-00901,Los haitianos tienen unas playas preciosas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} tienen unas playas preciosas,,Los haitianos tienen unas playas preciosas
V3-00902,"Dejá de escribir, 0sic0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Insulto,"Dejá de escribir, 0sic0"
V3-00903,El payaso está bien tranquilo hoy,0,v3_jerga_control,jerga_control|El {t} está bien tranquilo hoy,,El payaso está bien tranquilo hoy
V3-00904,"Qué asco das, f*sista",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Qué asco das, f*sista"
V3-00905,Vamos a ver al perro el domingo,0,v3_jerga_control,jerga_control|Vamos a ver al {t} el domingo,,Vamos a ver al perro el domingo
V3-00906,"Sos lo peor que hay, inept",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Ese {t} otra vez,Insulto,"Sos lo peor que hay, inept"
V3-00907,Con un haitiano no se puede razonar,2,v3_odio_grupo,odio_grupo|Con un {gs} no se puede razonar,Xenofobia,Con un haitiano no se puede razonar
V3-00908,"Callate ya, alero f4scizta",1,v3_jerga_ofensivo,"jerga_ofensivo|Callate ya, {t}",Insulto Directo,"Callate ya, alero f4scizta"
V3-00909,Qué buena estuvo la trabajo de anoche,0,v3_jerga_control,jerga_control|Qué buena estuvo la {t} de anoche,,Qué buena estuvo la trabajo de anoche
V3-00910,Quedó sucio el trabajo que hicieron,0,v3_jerga_control,jerga_control|Quedó {t} el trabajo que hicieron,,Quedó sucio el trabajo que hicieron
V3-00911,Los chinos ganaron el partido de ayer,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} ganaron el partido de ayer,,Los chinos ganaron el partido de ayer
V3-00912,"Que se vayan 🧼 los judíos, son escoria",2,v3_emoji_clase2,emoji_clase2|emoji_🧼,Judíos,"Que se vayan :jabón: los judíos, son escoria"
V3-00913,Le van a quitar ⚱️ las ganas de hablar,3,v3_emoji_clase3,emoji_clase3|emoji_⚱️,Individuo,Le van a quitar :urna_funeraria: las ganas de hablar
V3-00914,"No jodás más, ch0lko",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Mejor callate, {t}",Insulto,"No jodás más, ch0lko"
V3-00915,Fuera los gordos de nuestro país 🐋,2,v3_emoji_clase2,emoji_clase2|emoji_🐋,Personas con sobrepeso,Fuera los gordos de nuestro país :ballena:
V3-00916,Se va a topar con quien no debe,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_simple,Amenaza Implícita,Se va a topar con quien no debe
V3-00917,Trabajo con un peruano muy responsable,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Trabajo con un {gs} muy responsable,,Trabajo con un peruano muy responsable
V3-00918,"Andate a tu país, valieron verg4",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Andate a tu país, valieron verg4"
V3-00919,"Todos los pobres son una plaga, sin excepción 🐶",2,v3_emoji_clase2,emoji_clase2|emoji_🐶,Personas en situación de pobreza,"Todos los pobres son una plaga, sin excepción :cara_de_perro:"
V3-00920,"Qué asco das, 0sico",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Me da igual lo que digas, {t}",Insulto,"Qué asco das, 0sico"
V3-00921,Sos un khimvadas y punto,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Palabras obscenas,Sos un khimvadas y punto
V3-00922,"Vaya chota, nos vemos mañana entonces",0,v3_jerga_notoxico,"jerga_notoxico|Vaya {t}, nos vemos mañana entonces",,"Vaya chota, nos vemos mañana entonces"
V3-00923,Deberían b.a.l.e.a.r a todos esos anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Deberían {v} a todos esos,Amenaza Directa,Deberían b.a.l.e.a.r a todos esos anotalo
V3-00924,Lo van a bajar del caballo ⚱️,3,v3_emoji_clase3,emoji_clase3|emoji_⚱️,Individuo,Lo van a bajar del caballo :urna_funeraria:
V3-00925,"Qué asco das, cursooo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",nan,"Qué asco das, cursooo"
V3-00926,"Gente como vos sobra, valieron v3rg4",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Xenofobia,"Gente como vos sobra, valieron v3rg4"
V3-00927,Ese perro es mi mejor amigo desde la escuela,0,v3_jerga_control,jerga_control|Ese {t} es mi mejor amigo desde la escuela,,Ese perro es mi mejor amigo desde la escuela
V3-00928,Te van a t.o.r.t.u.r.a.r si seguís así,3,v3_amenaza_ofuscada,amenaza_ofuscada|Te van a {v} si seguís así,Amenaza Directa,Te van a t.o.r.t.u.r.a.r si seguís así
V3-00929,Ya sabe lo 🔫 que le espera,3,v3_emoji_clase3,emoji_clase3|emoji_🔫,Individuo,Ya sabe lo :pistola: que le espera
V3-00930,Ningún nicaragüense debería estar aquí,2,v3_odio_grupo,odio_grupo|Ningún {gs} debería estar aquí,Xenofobia,Ningún nicaragüense debería estar aquí
V3-00931,Los retrasados son escoria 🧠❓,2,v3_emoji_clase2,emoji_clase2|emoji_🧠❓,Personas con discapacidad intelectual,Los retrasados son escoria :cerebro: :interrogación_roja:
V3-00932,Nos vemos en la chamba del sábado 😂,0,v3_emoji_benigno,emoji_benigno|benigno_😂,,Nos vemos en la chamba del sábado :cara_llorando_de_risa:
V3-00933,Conocí a un chino muy amable ayer,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Conocí a un {gs} muy amable ayer,,Conocí a un chino muy amable ayer
V3-00934,Los peruanos juegan muy bien al fútbol,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} juegan muy bien al fútbol,,Los peruanos juegan muy bien al fútbol
V3-00935,Con un chino no se puede razonar,2,v3_odio_grupo,odio_grupo|Con un {gs} no se puede razonar,Xenofobia,Con un chino no se puede razonar
V3-00936,"Otra vez vos, k4chudo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andate de aquí, {t}",Insulto,"Otra vez vos, k4chudo"
V3-00937,"Vamos a a******r a ese maje y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Vamos a {v} a ese maje,Amenaza Directa,"Vamos a a******r a ese maje y no es amenaza, es aviso"
V3-00938,"No perteneces aquí, m@rero",2,v3_odio_ofuscado,"odio_ofuscado|Da asco verte, {t}",Xenofobia,"No perteneces aquí, m@rero"
V3-00939,"Me da igual lo que digas, p*ja",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Palabras obscenas,"Me da igual lo que digas, p*ja"
V3-00940,"A ese hay que m474rlo antes de que siga y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|A ese hay que {v}lo antes de que siga,Amenaza Directa,"A ese hay que m474rlo antes de que siga y no es amenaza, es aviso"
V3-00941,Los indígenas dan asco,2,v3_odio_grupo,odio_grupo|Los {g} {p},Xenofobia,Los indígenas dan asco
V3-00942,"🪳 Mientras más indios llegan, peor está todo",2,v3_emoji_clase2,emoji_clase2|emoji_🪳,Migrantes y grupos étnicos,":cucaracha: Mientras más indios llegan, peor está todo"
V3-00943,"Ya cállese, ignorante",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,"Ya cállese, ignorante"
V3-00944,Ese chambroz0 otra vez,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Callate ya, {t}",Insulto,Ese chambroz0 otra vez
V3-00945,"Ya me hartaste, pizto",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Ya cállese, {t}",Insulto,"Ya me hartaste, pizto"
V3-00946,Ese t*agandosela otra vez,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Otra vez vos, {t}",Palabras obscenas,Ese t*agandosela otra vez
V3-00947,"Andate a tu país, trompvdo",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Racismo,"Andate a tu país, trompvdo"
V3-00948,Los indígenas traen unas recetas buenísimas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} traen unas recetas buenísimas,,Los indígenas traen unas recetas buenísimas
V3-00949,"Que lo vayan a fus1lar de una vez y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Que lo vayan a {v} de una vez,Amenaza Directa,"Que lo vayan a fus1lar de una vez y no es amenaza, es aviso"
V3-00950,"Que se vayan 👴💀 los ancianos, son mierda",2,v3_emoji_clase2,emoji_clase2|emoji_👴💀,Adultos mayores,"Que se vayan :anciano: :calavera: los ancianos, son mierda"
V3-00951,"Regresate de donde viniste, le5biana",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Homofobia,"Regresate de donde viniste, le5biana"
V3-00952,"Regresate de donde viniste, narqent1na",2,v3_odio_ofuscado,"odio_ofuscado|Regresate de donde viniste, {t}",Xenofobia,"Regresate de donde viniste, narqent1na"
V3-00953,Saludos al cerote de mi parte,0,v3_jerga_notoxico,jerga_notoxico|Saludos al {t} de mi parte,,Saludos al cerote de mi parte
V3-00954,Los chinos juegan muy bien al fútbol,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} juegan muy bien al fútbol,,Los chinos juegan muy bien al fútbol
V3-00955,Ya compré el pisto para el domingo,0,v3_jerga_notoxico,jerga_notoxico|Ya compré el {t} para el domingo,,Ya compré el pisto para el domingo
V3-00956,Ya son demasiados hondureños en este país,2,v3_odio_grupo,odio_grupo|Ya son demasiados {g} en este país,Xenofobia,Ya son demasiados hondureños en este país
V3-00957,Ese pajero siempre llega tarde pero llega,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} siempre llega tarde pero llega,,Ese pajero siempre llega tarde pero llega
V3-00958,Ese pajero me ☕ cae bien la verdad,0,v3_emoji_benigno,emoji_benigno|benigno_☕,,Ese pajero me :bebida_caliente: cae bien la verdad
V3-00959,Alguien debería f u s i l a r a ese tipo ya vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Alguien debería {v} a ese tipo,Amenaza Directa,Alguien debería f u s i l a r a ese tipo ya vas a ver
V3-00960,Ya le pusieron precio a ese,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_simple,Amenaza Implícita,Ya le pusieron precio a ese
V3-00961,Con un cubano no se puede razonar,2,v3_odio_grupo,odio_grupo|Con un {gs} no se puede razonar,Xenofobia,Con un cubano no se puede razonar
V3-00962,Qué bueno que ya te sentís mejor ❤️,0,v3_emoji_benigno,emoji_benigno|benigno_❤️,,Qué bueno que ya te sentís mejor :corazón_rojo:
V3-00963,Mirá al burros este,1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,Mirá al burros este
V3-00964,Te vamos a bajar del bus 🧹👷,3,v3_emoji_clase3,emoji_clase3|emoji_🧹👷,Migrantes y grupos étnicos,Te vamos a bajar del bus :escoba: :profesional_de_la_construcción:
V3-00965,Ese chota siempre llega tarde pero llega,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} siempre llega tarde pero llega,,Ese chota siempre llega tarde pero llega
V3-00966,"Andate de aquí, muerto de hamvre",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,"Andate de aquí, muerto de hamvre"
V3-00967,"Nadie te preguntó, estup1d0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Nadie te preguntó, estup1d0"
V3-00968,"Todos los migrantes son una plaga, sin excepción 🐀",2,v3_emoji_clase2,emoji_clase2|emoji_🐀,Migrantes y personas empobrecidas,"Todos los migrantes son una plaga, sin excepción :rata:"
V3-00969,Fuera los venezolanos de nuestro país,2,v3_odio_grupo,odio_grupo|Fuera los {g} de nuestro país,Xenofobia,Fuera los venezolanos de nuestro país
V3-00970,"Eso es lo que sos, un maldita",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Tono agresivo,"Eso es lo que sos, un maldita"
V3-00971,Me gusta mucho la música de los peruanos,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Me gusta mucho la música de los {g},,Me gusta mucho la música de los peruanos
V3-00972,Uno de estos días lo van a p.a.r.t.i.r ya vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Uno de estos días lo van a {v},Amenaza Directa,Uno de estos días lo van a p.a.r.t.i.r ya vas a ver
V3-00973,"Aquí no te queremos, terrorist",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Aquí no te queremos, terrorist"
V3-00974,Ya quisiera b a l e a r a ese maje anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ya quisiera {v} a ese maje,Amenaza Directa,Ya quisiera b a l e a r a ese maje anotalo
V3-00975,Fuera los judíos de nuestro país 🧼,2,v3_emoji_clase2,emoji_clase2|emoji_🧼,Judíos,Fuera los judíos de nuestro país :jabón:
