ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga,origen,plantilla_id
SYN-0212,X,,SINTETICO,Ese chero 🤣 siempre llega tarde pero llega,Ese chero :cara_revolviéndose_de_la_risa: siempre llega tarde pero llega,ese chero siempre llega tarde pero llega,No Tóxico,0,,,NO,NO,NO,42,8,1,0,0,0,sintetico_jerga_notoxico,NT-JER-0087
2850,X,2026-07-15,USER_2850,"na amigo, 15 minutos y nos sacaron a uno disimulen un poco discapacitados de mierda @ric_sastre @Gus_Sastre","na amigo, 15 minutos y nos sacaron a uno disimulen un poco discapacitados de mierda @usuario @usuario",na amigo minutos y nos sacaron a uno disimulen un poco discapacitados de mierda usuario usuario,Discurso de Odio,2,Capacitismo,Personas con discapacidad,NO,NO,NO,107,17,0,2,0,1,real,
SYN-0740,Facebook,,SINTETICO,Te voy a dar piso 🪦,Te voy a dar piso :lápida:,te voy a dar piso,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,19,6,1,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0110
SYN-0725,Facebook,,SINTETICO,Te van a ma7ar si seguís así,Te van a ma7ar si seguís así,te van a ma ar si seguis asi,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,28,7,0,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0095
2443,Facebook,2026-07-23,USER_2443,Eres como una mariposa. De esas negras de las culeras,Eres como una mariposa. De esas negras de las culeras,eres como una mariposa de esas negras de las culeras,Discurso de Odio,2,Gordofobia,Personas morenas,NO,NO,NO,53,10,0,0,0,1,real,
2189,Facebook,2026-05-29,USER_2189,"El mensaje de Messi para los hinchas argentinos: ""SOMOS LOS MEJORES ESTOS CUATRO AÑOS, DUELA A QUIEN LE DUELA. NADIE NOS REGALÓ NADA. CONSEGUIR DOS FINALES SEGUIDAS ES PARA POCOS"".","El mensaje de Messi para los hinchas argentinos: ""SOMOS LOS MEJORES ESTOS CUATRO AÑOS, DUELA A QUIEN LE DUELA. NADIE NOS REGALÓ NADA. CONSEGUIR DOS FINALES SEGUIDAS ES PARA POCOS"".",el mensaje de messi para los hinchas argentinos somos los mejores estos cuatro anos duela a quien le duela nadie nos regalo nada conseguir dos finales seguidas es para pocos,No Tóxico,0,,Personas argentinas,SI,SI,NO,180,30,0,0,0,0,real,
1034,Facebook,2026-06-10,USER_1034,Facundo Cabral lo dijo con santo y seña: LE TENGO MIEDO A LOS PENDEJOS... ¿POR QUÉ? .... POR QUE SON MUCHOS....!!!,Facundo Cabral lo dijo con santo y seña: LE TENGO MIEDO A LOS PENDEJOS... ¿POR QUÉ? .... POR QUE SON MUCHOS....!!!,facundo cabral lo dijo con santo y sena le tengo miedo a los pendejos por que por que son muchos,Lenguaje Ofensivo,1,Palabras Obscenas,,SÍ,SÍ,NO,114,21,0,0,0,2,real,
2024,X,2026-06-14,USER_2024,"procedo a bloquear a esta pinche pagina mierdera, no saben perder, son soberbios y vende humo, las estadisiticas dicen todo, ¿no que mucha ciencia? que miras, bobo!","procedo a bloquear a esta pinche pagina mierdera, no saben perder, son soberbios y vende humo, las estadisiticas dicen todo, ¿no que mucha ciencia? que miras, bobo!",procedo a bloquear a esta pinche pagina mierdera no saben perder son soberbios y vende humo las estadisiticas dicen todo no que mucha ciencia que miras bobo,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,164,27,0,0,0,1,real,
978,Facebook,2026-07-24,USER_978,"Franko Lopez Estas seguro que ra victima? te consta? Y si fue un chambre nomas para que el hombre fuera arrestado porque como a la mujer todo le creen.y si los policias salvatruchos no estan bien preparados, desconocen lenguaje corporal.No saben cuando alguien les miente..Ensen̈ame kos golpes que la mujer tiene y los hijos..ensen̈amelos yaaa..Esperate mejor para que des una opinion..espera que se investigue..Esa ley cerota la confundiwron las mujeres..Pero se les olvida un detallito chiquito..hay hijos, hnos.padres, en la familia.Y tarde o temprano....jujuyyy.Preguntate como va a vivir quien acusoʻ falsamente..CUANDO LES LLEGA EL.KARMA DICEN. ASABER PORQ UÈ LE PASO ESO SI ERA TAN BUENO O BUENA","Franko Lopez Estas seguro que ra victima? te consta? Y si fue un chambre nomas para que el hombre fuera arrestado porque como a la mujer todo le creen.y si los policias salvatruchos no estan bien preparados, desconocen lenguaje corporal.No saben cuando alguien les miente..Ensen̈ame kos golpes que la mujer tiene y los hijos..ensen̈amelos yaaa..Esperate mejor para que des una opinion..espera que se investigue..Esa ley cerota la confundiwron las mujeres..Pero se les olvida un detallito chiquito..hay hijos, hnos.padres, en la familia.Y tarde o temprano....jujuyyy.Preguntate como va a vivir quien acusoʻ falsamente..CUANDO LES LLEGA EL.KARMA DICEN. ASABER PORQ UÈ LE PASO ESO SI ERA TAN BUENO O BUENA",franko lopez estas seguro que ra victima te consta y si fue un chambre nomas para que el hombre fuera arrestado porque como a la mujer todo le creen y si los policias salvatruchos no estan bien preparados desconocen lenguaje corporal no saben cuando alguien les miente ensename kos golpes que la mujer tiene y los hijos ensenamelos yaaa esperate mejor para que des una opinion espera que se investigue esa ley cerota la confundiwron las mujeres pero se les olvida un detallito chiquito hay hijos hnos padres en la familia y tarde o temprano jujuyyy preguntate como va a vivir quien acusoʻ falsamente cuando les llega el karma dicen asaber porq ue le paso eso si era tan bueno o buena,No Tóxico,0,,Individuo,NO,NO,NO,702,107,0,0,0,2,real,
2900,X,2026-06-05,USER_2900,"Inmigrantes, de mierda porque no se van a comer basura a su país de. Negros","Inmigrantes, de mierda porque no se van a comer basura a su país de. Negros",inmigrantes de mierda porque no se van a comer basura a su pais de negros,Discurso de Odio,2,Racismo,Personas negras o racializadas,NO,NO,NO,75,15,0,0,0,5,real,
161,X,2026-07-13,USER_161,En este lugar del mundo puedes estar un día en la playa y al siguiente en la montaña o el lago así de maravilloso es mi país El Salvador #ElSalvador #TurismoInternoSv,En este lugar del mundo puedes estar un día en la playa y al siguiente en la montaña o el lago así de maravilloso es mi país El Salvador #ElSalvador #TurismoInternoSv,en este lugar del mundo puedes estar un dia en la playa y al siguiente en la montana o el lago asi de maravilloso es mi pais el salvador elsalvador turismointernosv,No Tóxico,0,,,NO,NO,NO,166,31,0,0,2,0,real,
2282,Facebook,2026-07-23,USER_2282,"E we agarra el pedo, orita se te van a juntar todos los meseros te van a tirar otra página","E we agarra el pedo, orita se te van a juntar todos los meseros te van a tirar otra página",e we agarra el pedo orita se te van a juntar todos los meseros te van a tirar otra pagina,No Tóxico,0,,Argentinos,NO,NO,NO,90,20,0,0,0,1,real,
173,X,2026-07-13,USER_173,Festejemos el Día del Padre con amor y alegría. ¡Que se diviertan! #DiadelPadreSV,Festejemos el Día del Padre con amor y alegría. ¡Que se diviertan! #DiadelPadreSV,festejemos el dia del padre con amor y alegria que se diviertan diadelpadresv,No Tóxico,0,,,NO,NO,SÍ,81,13,0,0,1,1,real,
SYN-0952,Facebook,,SINTETICO,Puros son los que llegan a este país 🍍,Puros son los que llegan a este país :piña:,puros son los que llegan a este pais,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,38,9,1,0,0,0,sintetico_relleno_emoji,RELL-0072
2814,X,2026-07-02,USER_2814,El fan de los judíos de mierda y la inglesa hija de puta no le puede decir cipayos a nadie,El fan de los judíos de mierda y la inglesa hija de puta no le puede decir cipayos a nadie,el fan de los judios de mierda y la inglesa hija de puta no le puede decir cipayos a nadie,Discurso de Odio,2,Antisemitismo,Personas judi­as,NO,NO,NO,90,20,0,0,0,2,real,
SYN-1102,X,,SINTETICO,Todos los judíos son iguales 🇮🇱🤢,Todos los judíos son iguales :bandera_israel: :cara_de_náuseas:,todos los judios son iguales,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,32,6,2,0,0,0,sintetico_relleno_emoji,RELL-0222
2240,Facebook,2026-06-06,USER_2240,Si sequeda solo Infantino sequeda sola Messi y argentina,Si sequeda solo Infantino sequeda sola Messi y argentina,si sequeda solo infantino sequeda sola messi y argentina,No Tóxico,0,,Personas argentinas,SI,SI,NO,56,9,0,0,0,0,real,
1202,Facebook,2026-06-26,USER_1202,"No nos demos paja, le andaba dando molote a la cuca esa chera","No nos demos paja, le andaba dando molote a la cuca esa chera",no nos demos paja le andaba dando molote a la cuca esa chera,Lenguaje Ofensivo,1,Palabras Obscenas,Persona Individual,NO,NO,NO,61,13,0,0,0,1,real,
SYN-1130,X,,SINTETICO,Se creen 🐋🚫 mucho pero son puros,Se creen :ballena: :prohibido: mucho pero son puros,se creen mucho pero son puros,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,32,7,2,0,0,0,sintetico_relleno_emoji,RELL-0250
SYN-0559,Facebook,,SINTETICO,Andá con cuidado en la calle vos 🔫🔪,Andá con cuidado en la calle vos :pistola: :cuchillo_de_cocina:,anda con cuidado en la calle vos,Amenazas/Violencia,3,Amenaza Implícita,,NO,NO,NO,35,8,2,0,0,1,sintetico_emoji_amenaza,AM-EMO-0059
2348,Facebook,2026-07-21,USER_2348,En 4 lo pusieron y salió positivo ??,En 4 lo pusieron y salió positivo ??,en lo pusieron y salio positivo,Discurso de Odio,2,Serofobia,Personas con VIH,NO,NO,NO,36,8,0,0,0,0,real,
1688,X,2026-06-02,USER_1688,"Vos podés seguir comiendo mierda con el gran calor en San Miguel, pero yo quiero ese calor de mierda para San Salvador pelon cerote","Vos podés seguir comiendo mierda con el gran calor en San Miguel, pero yo quiero ese calor de mierda para San Salvador pelon cerote",vos podes seguir comiendo mierda con el gran calor en san miguel pero yo quiero ese calor de mierda para san salvador pelon cerote,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,131,24,0,0,0,3,real,
2372,Facebook,2026-07-21,USER_2372,Dicen por ahí que: Hombre con plata no come carne barata,Dicen por ahí que: Hombre con plata no come carne barata,dicen por ahi que hombre con plata no come carne barata,No Tóxico,0,,Personas de clase baja,NO,NO,NO,56,11,0,0,0,1,real,
2290,Facebook,2026-07-23,USER_2290,fiel seguidor de Israel?te creo que le desees la muerte a la gente.,fiel seguidor de Israel?te creo que le desees la muerte a la gente.,fiel seguidor de israel te creo que le desees la muerte a la gente,Discurso de Odio,2,Antisemitismo,Judíos,NO,NO,NO,67,13,0,0,0,0,real,
SYN-0465,X,,SINTETICO,Se creen mucho pero son puros 🥷,Se creen mucho pero son puros :ninja:,se creen mucho pero son puros,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,31,7,1,0,0,0,sintetico_emoji_odio,OD-EMO-0144
SYN-0480,Facebook,,SINTETICO,Puros 🪳 son los que llegan a este país,Puros :cucaracha: son los que llegan a este país,puros son los que llegan a este pais,Discurso de Odio,2,Xenofobia,,NO,NO,NO,38,9,1,0,0,0,sintetico_emoji_odio,OD-EMO-0159
SYN-0356,Facebook,,SINTETICO,Todos los indígenas son iguales 🐒,Todos los indígenas son iguales :mono:,todos los indigenas son iguales,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,33,6,1,0,0,0,sintetico_emoji_odio,OD-EMO-0035
1998,X,2026-06-14,USER_1998,lo de la chica roro peleando con una mascara para soldar q cojones es,lo de la chica roro peleando con una mascara para soldar q cojones es,lo de la chica roro peleando con una mascara para soldar q cojones es,Lenguaje Ofensivo,1,Palabras Obscenas,,NO,NO,NO,69,14,0,0,0,1,real,
SYN-0810,X,,SINTETICO,Me vale verga lo que opines 🥱,Me vale verga lo que opines :cara_de_bostezo:,me vale verga lo que opines,Lenguaje Ofensivo,1,Palabras Obscenas,,NO,NO,NO,29,7,1,0,0,1,sintetico_emoji_ofensivo,OF-EMO-0042
3032,X,2026-05-30,USER_3032,"Era más honesto que pongas que se enfrentan unos indios de mierda vs la alcurnia europea pero no te da los huevos, xenofobo cagón hijo de puta","Era más honesto que pongas que se enfrentan unos indios de mierda vs la alcurnia europea pero no te da los huevos, xenofobo cagón hijo de puta",era mas honesto que pongas que se enfrentan unos indios de mierda vs la alcurnia europea pero no te da los huevos xenofobo cagon hijo de puta,Lenguaje Ofensivo,1,Insulto Directo,Personas latinoamericanas,NO,NO,NO,142,27,0,0,0,3,real,
722,Facebook,2026-07-14,USER_722,"Pregunta y que raza es pura actualmente, que no sea fruto de mestizaje?","Pregunta y que raza es pura actualmente, que no sea fruto de mestizaje?",pregunta y que raza es pura actualmente que no sea fruto de mestizaje,No Tóxico,0,,,NO,NO,NO,71,13,0,0,0,0,real,
1679,X,2026-06-02,USER_1679,Esta es la periodista de @chilevision @chvnoticias que fue meada en El Salvador?,Esta es la periodista de @usuario @usuario que fue meada en El Salvador?,esta es la periodista de usuario usuario que fue meada en el salvador,Lenguaje Ofensivo,1,Tono Agresivo,Persona Individual,SÍ,NO,SÍ,80,13,0,2,0,0,real,
SYN-1049,Facebook,,SINTETICO,Callate ya que hartás con lo mismo 🐍,Callate ya que hartás con lo mismo :serpiente:,callate ya que hartas con lo mismo,Lenguaje Ofensivo,1,Tono Agresivo,,NO,NO,NO,36,8,1,0,0,1,sintetico_relleno_emoji,RELL-0169
2469,Facebook,2026-07-23,USER_2469,Tu amigo adicto a la piedra que dice que es natural y no le hace daño,Tu amigo adicto a la piedra que dice que es natural y no le hace daño,tu amigo adicto a la piedra que dice que es natural y no le hace dano,No Tóxico,0,,Personas en situación de pobreza,NO,NO,NO,69,16,0,0,0,0,real,
SYN-1131,Facebook,,SINTETICO,Se creen mucho pero son puros 🐋,Se creen mucho pero son puros :ballena:,se creen mucho pero son puros,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,31,7,1,0,0,0,sintetico_relleno_emoji,RELL-0251
1806,X,2026-06-07,USER_1806,Muy patéticos tirarle mierda a la selección por chimbadas que se han hecho toda la vida. DIMinuto como el equipo.,Muy patéticos tirarle mierda a la selección por chimbadas que se han hecho toda la vida. DIMinuto como el equipo.,muy pateticos tirarle mierda a la seleccion por chimbadas que se han hecho toda la vida diminuto como el equipo,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,113,20,0,0,0,2,real,
SYN-1100,Facebook,,SINTETICO,Estos judíos no 🇮🇱🤢 deberían estar aquí,Estos judíos no :bandera_israel: :cara_de_náuseas: deberían estar aquí,estos judios no deberian estar aqui,Discurso de Odio,2,Estigmatización cultural,,NO,NO,NO,39,7,2,0,0,0,sintetico_relleno_emoji,RELL-0220
SYN-0329,X,,SINTETICO,Estos mexicanos no deberían estar aquí 🐒🇲🇽,Estos mexicanos no deberían estar aquí :mono: :bandera_méxico:,estos mexicanos no deberian estar aqui,Discurso de Odio,2,Xenofobia,,NO,NO,NO,42,7,2,0,0,0,sintetico_emoji_odio,OD-EMO-0008
SYN-0323,X,,SINTETICO,Estos venezolanos no deberían estar aquí 🐀,Estos venezolanos no deberían estar aquí :rata:,estos venezolanos no deberian estar aqui,Discurso de Odio,2,Xenofobia,,NO,NO,NO,42,7,1,0,0,0,sintetico_emoji_odio,OD-EMO-0002
1484,Facebook,2026-07-26,USER_1484,Ese pendejo mejor quémela pele aBukele nadie lo sacara del lugar q Dios leadado,Ese pendejo mejor quémela pele aBukele nadie lo sacara del lugar q Dios leadado,ese pendejo mejor quemela pele abukele nadie lo sacara del lugar q dios leadado,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,SÍ,79,14,0,0,0,1,real,
2916,X,2026-05-31,USER_2916,"Dije ""letrinoamericanos"", osea todos los inmigrantes de mierda.","Dije ""letrinoamericanos"", osea todos los inmigrantes de mierda.",dije letrinoamericanos osea todos los inmigrantes de mierda,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,63,8,0,0,0,2,real,
454,X,2026-07-14,USER_454,"Así como están pagando el Karma los mareros en las cárceles y en el CECOT, así mismo van a pagar estos delincuentes de la tiendona, si no hacen lo que Nayib les ordena de bajar los precios, pues entonces que se mueran del hambre pobres diablos pobretones jajajaja @es7eve","Así como están pagando el Karma los mareros en las cárceles y en el CECOT, así mismo van a pagar estos delincuentes de la tiendona, si no hacen lo que Nayib les ordena de bajar los precios, pues entonces que se mueran del hambre pobres diablos pobretones jajajaja @usuario",asi como estan pagando el karma los mareros en las carceles y en el cecot asi mismo van a pagar estos delincuentes de la tiendona si no hacen lo que nayib les ordena de bajar los precios pues entonces que se mueran del hambre pobres diablos pobretones jajajaja usuario,Amenazas/Violencia,3,Deseo de Daño,Pandilleros/Mareros,NO,NO,SÍ,271,49,0,1,0,2,real,
333,X,2026-07-14,USER_333,Entierren se vivos mejor mareros criminales Y todavía tiene el descaro de salir opinando hablando,Entierren se vivos mejor mareros criminales Y todavía tiene el descaro de salir opinando hablando,entierren se vivos mejor mareros criminales y todavia tiene el descaro de salir opinando hablando,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,NO,97,15,0,0,0,1,real,
2242,Facebook,2026-06-13,USER_2242,Infantino vs negreira,Infantino vs negreira,infantino vs negreira,No Tóxico,0,,Personas argentinas,SI,SI,NO,21,3,0,0,0,0,real,
SYN-0688,X,,SINTETICO,Ojalá lo mat4r,Ojalá lo mat4r,ojala lo mat r,Amenazas/Violencia,3,Deseo de Daño,,NO,NO,NO,14,3,0,0,0,1,sintetico_amenaza_ofuscada,AM-OFU-0058
SYN-0531,Facebook,,SINTETICO,Que lo agarren y lo desaparezcan 🔫,Que lo agarren y lo desaparezcan :pistola:,que lo agarren y lo desaparezcan,Amenazas/Violencia,3,Incitación a la Violencia,,NO,NO,NO,34,7,1,0,0,0,sintetico_emoji_amenaza,AM-EMO-0031
SYN-0443,X,,SINTETICO,Mientras más lejos estén esos 🥷 mejor para todos,Mientras más lejos estén esos :ninja: mejor para todos,mientras mas lejos esten esos mejor para todos,Discurso de Odio,2,Xenofobia,,NO,NO,NO,48,9,1,0,0,0,sintetico_emoji_odio,OD-EMO-0122
1385,Facebook,2026-06-25,USER_1385,Gracias al vergo de hombres pendejos q con solo ver una falda regalan su dinero a estas vividoras y ellos después prestando para terminar el mes jajaja,Gracias al vergo de hombres pendejos q con solo ver una falda regalan su dinero a estas vividoras y ellos después prestando para terminar el mes jajaja,gracias al vergo de hombres pendejos q con solo ver una falda regalan su dinero a estas vividoras y ellos despues prestando para terminar el mes jajaja,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,151,27,0,0,0,2,real,
640,Facebook,2026-07-14,USER_640,bamos con espania bamos bamos espania usd dan sorpresa,bamos con espania bamos bamos espania usd dan sorpresa,bamos con espania bamos bamos espania usd dan sorpresa,No Tóxico,0,,,NO,NO,NO,54,9,0,0,0,1,real,
1899,X,2026-07-08,USER_1899,"Amigo vos mismo dijiste que los venecos que conociste fueron una mierda con vos, osea te dejaron el culo roto seguí llorando que yo soy feliz con mi nacionalidad salvadoreña no como vos que t fuiste a vivir a Estados unidos y más encima andas acá en Twitter cff","Amigo vos mismo dijiste que los venecos que conociste fueron una mierda con vos, osea te dejaron el culo roto seguí llorando que yo soy feliz con mi nacionalidad salvadoreña no como vos que t fuiste a vivir a Estados unidos y más encima andas acá en Twitter cff",amigo vos mismo dijiste que los venecos que conociste fueron una mierda con vos osea te dejaron el culo roto segui llorando que yo soy feliz con mi nacionalidad salvadorena no como vos que t fuiste a vivir a estados unidos y mas encima andas aca en twitter cff,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,SÍ,261,49,0,0,0,3,real,
SYN-0350,Facebook,,SINTETICO,Miren a los viejos ⚰️ como se comportan,Miren a los viejos :ataúd: como se comportan,miren a los viejos como se comportan,Discurso de Odio,2,Estigmatización nacional,,NO,NO,NO,39,8,1,0,0,0,sintetico_emoji_odio,OD-EMO-0029
575,Facebook,2026-07-14,USER_575,"Dios lo tenga en su Santa Gloria,gracias x apoyar a la juventud el cuando el alumno se ausentaba x alguna razón ,mandaba a llamar al alumno para ver el porq de su ausencia y darle su apoyo Mis condolencias a la familia Dios les dé fortaleza en estos duros momentos","Dios lo tenga en su Santa Gloria,gracias x apoyar a la juventud el cuando el alumno se ausentaba x alguna razón ,mandaba a llamar al alumno para ver el porq de su ausencia y darle su apoyo Mis condolencias a la familia Dios les dé fortaleza en estos duros momentos",dios lo tenga en su santa gloria gracias x apoyar a la juventud el cuando el alumno se ausentaba x alguna razon mandaba a llamar al alumno para ver el porq de su ausencia y darle su apoyo mis condolencias a la familia dios les de fortaleza en estos duros momentos,No Tóxico,0,,,NO,NO,NO,264,50,0,0,0,0,real,
231,X,2026-07-14,USER_231,"Porqué somos FIRMES, Fortaleza y Crecimiento. #carmando #Ilustración #ArteSV #ElSalvador","Porqué somos FIRMES, Fortaleza y Crecimiento. #carmando #Ilustración #ArteSV #ElSalvador",porque somos firmes fortaleza y crecimiento carmando ilustracion artesv elsalvador,No Tóxico,0,,,NO,NO,NO,88,10,0,0,4,0,real,
690,Facebook,2026-07-14,USER_690,España y argentina pomgale la firma,España y argentina pomgale la firma,espana y argentina pomgale la firma,No Tóxico,0,,,NO,NO,NO,35,6,0,0,0,0,real,
SYN-0551,Facebook,,SINTETICO,Se merece ⚰️💀 que le pase algo feo,Se merece :ataúd: :calavera: que le pase algo feo,se merece que le pase algo feo,Amenazas/Violencia,3,Deseo de Daño,,NO,NO,NO,34,8,2,0,0,0,sintetico_emoji_amenaza,AM-EMO-0051
1601,X,2026-05-30,USER_1601,"Las personas que NO entienden que el dinero es un medio y NO un Fin , simple y sencillamente son unos Imbeciles.","Las personas que NO entienden que el dinero es un medio y NO un Fin , simple y sencillamente son unos Imbeciles.",las personas que no entienden que el dinero es un medio y no un fin simple y sencillamente son unos imbeciles,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,112,22,0,0,0,0,real,
1847,X,2026-06-07,USER_1847,"Y como sabes que son los mismos mapaches? Tienes su DUI? Te consta que ningún animal perdió su hábitat en esos 55000 m2 deforestados en contra de la mayoría de salvadoreños que SI vivimos aquí? Puta, lo que uno tiene que venir a leer aquí. No es de awb tratar de tapar cagadas.","Y como sabes que son los mismos mapaches? Tienes su DUI? Te consta que ningún animal perdió su hábitat en esos 55000 m2 deforestados en contra de la mayoría de salvadoreños que SI vivimos aquí? Puta, lo que uno tiene que venir a leer aquí. No es de awb tratar de tapar cagadas.",y como sabes que son los mismos mapaches tienes su dui te consta que ningun animal perdio su habitat en esos m deforestados en contra de la mayoria de salvadorenos que si vivimos aqui puta lo que uno tiene que venir a leer aqui no es de awb tratar de tapar cagadas,Lenguaje Ofensivo,1,Palabras Obscenas,,SÍ,NO,SÍ,277,53,0,0,0,1,real,
694,Facebook,2026-07-14,USER_694,"Ni Dembélé, ni Mbape aparecieron.","Ni Dembélé, ni Mbape aparecieron.",ni dembele ni mbape aparecieron,No Tóxico,0,,,NO,NO,NO,33,5,0,0,0,0,real,
2435,Facebook,2026-07-21,USER_2435,Tu eres como unaaaa morsaaa,Tu eres como unaaaa morsaaa,tu eres como unaaaa morsaaa,Discurso de Odio,2,Gordofobia,Personas con sobrepeso,NO,NO,NO,27,5,0,0,0,0,real,
1351,Facebook,2026-06-25,USER_1351,Pobre vieja piriche quien te los daría si vos por un rato cobrabas 6 dólares por el Zurita estás loca,Pobre vieja piriche quien te los daría si vos por un rato cobrabas 6 dólares por el Zurita estás loca,pobre vieja piriche quien te los daria si vos por un rato cobrabas dolares por el zurita estas loca,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,101,20,0,0,0,0,real,
188,X,2026-07-13,USER_188,"Detrás de un gran país, hay grandes mujeres. #8M #MujerSalvadoreña #8M2020 #DiaInternacionalDeLaMujer","Detrás de un gran país, hay grandes mujeres. #8M #MujerSalvadoreña #8M2020 #DiaInternacionalDeLaMujer",detras de un gran pais hay grandes mujeres m mujersalvadorena m diainternacionaldelamujer,No Tóxico,0,,,NO,NO,NO,101,12,0,0,4,0,real,
SYN-0636,Facebook,,SINTETICO,Te voy a matarte,Te voy a matarte,te voy a matarte,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,16,4,0,0,0,0,sintetico_amenaza_ofuscada,AM-OFU-0006
359,X,2026-07-14,USER_359,"YO SE LOS AGARRO, LOS ROMPO Y SE LOS TIRO EN LAS PIES. PARA EMPEZAR ESOS SON LOS NUEVOS MAREROS, MUCHOS DE ESOS QUE CONTRATAN, ERAN PANDILLEROS. ENTONCES ME AGREDEN Y POSTERIORMENTE LLAMAN LOS POLICIAS. OTROS PERROS QUE LE MUEVEN LA COLA A BUKELE Y VOY A SABER CUÁNTOS AÑOS PRESO.","YO SE LOS AGARRO, LOS ROMPO Y SE LOS TIRO EN LAS PIES. PARA EMPEZAR ESOS SON LOS NUEVOS MAREROS, MUCHOS DE ESOS QUE CONTRATAN, ERAN PANDILLEROS. ENTONCES ME AGREDEN Y POSTERIORMENTE LLAMAN LOS POLICIAS. OTROS PERROS QUE LE MUEVEN LA COLA A BUKELE Y VOY A SABER CUÁNTOS AÑOS PRESO.",yo se los agarro los rompo y se los tiro en las pies para empezar esos son los nuevos mareros muchos de esos que contratan eran pandilleros entonces me agreden y posteriormente llaman los policias otros perros que le mueven la cola a bukele y voy a saber cuantos anos preso,Amenazas/Violencia,3,Amenaza Directa,Pandilleros/Mareros,NO,NO,SÍ,280,51,0,0,0,3,real,
SYN-0501,X,,SINTETICO,Te espero afuera 🔫🔪,Te espero afuera :pistola: :cuchillo_de_cocina:,te espero afuera,Amenazas/Violencia,3,Amenaza Directa,,NO,NO,NO,19,4,2,0,0,0,sintetico_emoji_amenaza,AM-EMO-0001
2521,Facebook,2026-07-23,USER_2521,Trompa de chucho apareandose con coyoles de toro.,Trompa de chucho apareandose con coyoles de toro.,trompa de chucho apareandose con coyoles de toro,Lenguaje Ofensivo,1,Palabras Obscenas,Personas con discapacidad,NO,NO,NO,49,8,0,0,0,1,real,
1694,X,2026-06-02,USER_1694,"os sos sanchezz certen hijueputa, porque no podes ser tan pendejo .. ajajajajajajjajajajajajj El edificio el salvadoreño( hecho por chinos). Hijueputa terengo Ajajajajajajajajajjaaj","os sos sanchezz certen hijueputa, porque no podes ser tan pendejo .. ajajajajajajjajajajajajj El edificio el salvadoreño( hecho por chinos). Hijueputa terengo Ajajajajajajajajajjaaj",os sos sanchezz certen hijueputa porque no podes ser tan pendejo ajajajajajajjajajajajajj el edificio el salvadoreno hecho por chinos hijueputa terengo ajajajajajajajajajjaaj,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,SÍ,NO,SÍ,181,23,0,0,0,3,real,
