ID,familia,base,variante,texto,esperado,pred_mbert_v1,pred_mbert_b2,pred_xlmr_v1,pred_xlmr_mit,texto_norm,norm_mbert_v1,norm_mbert_b2,norm_xlmr_v1,norm_xlmr_mit
SND-0169,5. Emoji inofensivo,amable,emoji_crudo,"Qué alegre verte, hermano ☕",0,1,0,0,0,"Qué alegre verte, hermano :bebida_caliente:",1,0,1,1
SND-0170,5. Emoji inofensivo,amable,emoji_crudo,☕ Felicidades por el logro,0,0,0,0,0,:bebida_caliente: Felicidades por el logro,0,0,1,1
SND-0171,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero ❤️,0,1,3,0,0,Ahí te espero :corazón_rojo:,1,0,1,1
SND-0172,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy ❤️,0,1,0,0,0,Ya sabés cómo soy :corazón_rojo:,1,0,1,1
SND-0173,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 😂,0,1,3,0,0,Ahí te espero :cara_llorando_de_risa:,1,0,1,1
SND-0174,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 😂,0,1,0,0,0,Ya sabés cómo soy :cara_llorando_de_risa:,1,0,1,1
SND-0175,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 🔫,3,1,3,0,0,Ahí te espero :pistola_de_agua:,1,3,1,1
SND-0176,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 🔫,3,1,0,0,0,Ya sabés cómo soy :pistola_de_agua:,1,3,1,1
SND-0177,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 🔪,3,1,3,0,0,Ahí te espero :cuchillo_de_cocina:,1,3,1,1
SND-0178,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 🔪,3,1,0,0,0,Ya sabés cómo soy :cuchillo_de_cocina:,1,3,1,1
SND-0179,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 💀,3,1,3,0,0,Ahí te espero :calavera:,1,3,1,0
SND-0180,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 💀,3,1,0,0,0,Ya sabés cómo soy :calavera:,1,3,1,1
SND-0181,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 🖕,1,1,3,0,0,Ahí te espero :dedo_corazón_hacia_arriba:,1,1,1,1
SND-0182,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 🖕,1,1,0,0,0,Ya sabés cómo soy :dedo_corazón_hacia_arriba:,1,1,1,1
SND-0183,6. Par mínimo de emoji,Ahí te espero,par_minimo,Ahí te espero 🐒,2,1,3,0,0,Ahí te espero :mono:,2,2,0,0
SND-0184,6. Par mínimo de emoji,Ya sabés cómo soy,par_minimo,Ya sabés cómo soy 🐒,2,1,0,0,0,Ya sabés cómo soy :mono:,2,2,1,1
SND-0185,7. Jerga inofensiva,Ese cerote es mi mejor amigo,jerga,Ese cerote es mi mejor amigo,0,1,0,1,1,Ese cerote es mi mejor amigo,1,0,1,1
SND-0186,7. Jerga inofensiva,"Qué onda maje, todo bien",jerga,"Qué onda maje, todo bien",0,1,0,1,1,"Qué onda maje, todo bien",1,0,1,1
SND-0187,7. Jerga inofensiva,"Vamos por unas pupusas, chero",jerga,"Vamos por unas pupusas, chero",0,1,0,0,0,"Vamos por unas pupusas, chero",1,0,0,0
SND-0188,7. Jerga inofensiva,Prestame pisto para el bus,jerga,Prestame pisto para el bus,0,0,0,3,3,Prestame pisto para el bus,0,0,3,3
SND-0189,7. Jerga inofensiva,El bicho ya se durmió,jerga,El bicho ya se durmió,0,1,1,1,2,El bicho ya se durmió,1,1,1,2
SND-0190,7. Jerga inofensiva,"No sea pajero, contá la verdad",jerga,"No sea pajero, contá la verdad",0,1,0,1,1,"No sea pajero, contá la verdad",1,0,1,1
SND-0191,7. Jerga inofensiva,Ese chucho es bien tranquilo,jerga,Ese chucho es bien tranquilo,0,1,0,1,0,Ese chucho es bien tranquilo,1,0,1,0
SND-0192,7. Jerga inofensiva,Andá traeme el chunche ese,jerga,Andá traeme el chunche ese,0,1,3,3,3,Andá traeme el chunche ese,1,3,3,3
SND-0193,7. Jerga inofensiva,Qué chivo te quedó la casa,jerga,Qué chivo te quedó la casa,0,0,0,1,1,Qué chivo te quedó la casa,0,0,1,1
SND-0194,7. Jerga inofensiva,"Puchica, qué bonito día",jerga,"Puchica, qué bonito día",0,1,0,0,0,"Puchica, qué bonito día",1,0,0,0
SND-0195,8. Control español estándar,Ese amigo es mi mejor amigo,control,Ese amigo es mi mejor amigo,0,0,0,0,0,Ese amigo es mi mejor amigo,0,0,0,0
SND-0196,8. Control español estándar,"Qué tal amigo, todo bien",control,"Qué tal amigo, todo bien",0,0,0,0,0,"Qué tal amigo, todo bien",0,0,0,0
SND-0197,8. Control español estándar,"Vamos por unas pupusas, amigo",control,"Vamos por unas pupusas, amigo",0,0,0,0,0,"Vamos por unas pupusas, amigo",0,0,0,0
SND-0198,8. Control español estándar,Préstame dinero para el autobús,control,Préstame dinero para el autobús,0,0,0,0,0,Préstame dinero para el autobús,0,0,0,0
SND-0199,8. Control español estándar,El niño ya se durmió,control,El niño ya se durmió,0,1,2,0,0,El niño ya se durmió,1,2,0,0
SND-0200,8. Control español estándar,"No sea mentiroso, cuente la verdad",control,"No sea mentiroso, cuente la verdad",0,1,0,1,1,"No sea mentiroso, cuente la verdad",1,0,1,1
SND-0201,8. Control español estándar,Ese perro es bien tranquilo,control,Ese perro es bien tranquilo,0,1,1,1,0,Ese perro es bien tranquilo,1,1,1,0
SND-0202,8. Control español estándar,Ve a traerme ese objeto,control,Ve a traerme ese objeto,0,3,3,3,1,Ve a traerme ese objeto,3,3,3,1
SND-0203,8. Control español estándar,Qué bonito te quedó la casa,control,Qué bonito te quedó la casa,0,0,0,0,0,Qué bonito te quedó la casa,0,0,0,0
SND-0204,8. Control español estándar,"Vaya, qué bonito día",control,"Vaya, qué bonito día",0,0,0,0,0,"Vaya, qué bonito día",0,0,0,0
